"participant","mode","block_order","completed_at","age","gender","exp_symptom_checkers","exp_voice_ai","t1_1_case","t1_1_voice","t1_1_ai_condition","t1_1_initial_pick","t1_1_initial_conf","t1_1_final_pick","t1_1_final_conf","t1_1_shift","t1_2_case","t1_2_voice","t1_2_ai_condition","t1_2_initial_pick","t1_2_initial_conf","t1_2_final_pick","t1_2_final_conf","t1_2_shift","t1_3_case","t1_3_voice","t1_3_ai_condition","t1_3_initial_pick","t1_3_initial_conf","t1_3_final_pick","t1_3_final_conf","t1_3_shift","t1_4_case","t1_4_voice","t1_4_ai_condition","t1_4_initial_pick","t1_4_initial_conf","t1_4_final_pick","t1_4_final_conf","t1_4_shift","t2_1_case","t2_1_voice","t2_1_ai_condition","t2_1_initial_pick","t2_1_initial_conf","t2_1_final_pick","t2_1_final_conf","t2_1_shift","t2_2_case","t2_2_voice","t2_2_ai_condition","t2_2_initial_pick","t2_2_initial_conf","t2_2_final_pick","t2_2_final_conf","t2_2_shift","t2_3_case","t2_3_voice","t2_3_ai_condition","t2_3_initial_pick","t2_3_initial_conf","t2_3_final_pick","t2_3_final_conf","t2_3_shift","t2_4_case","t2_4_voice","t2_4_ai_condition","t2_4_initial_pick","t2_4_initial_conf","t2_4_final_pick","t2_4_final_conf","t2_4_shift","vpA_pleasantness","vpA_genderedness","vpA_competence","vpA_trust","vpA_humanness","vpA_warmth","vpA_intelligibility","vpA_naturalness","vpB_intelligibility","vpB_genderedness","vpB_competence","vpB_naturalness","vpB_trust","vpB_humanness","vpB_warmth","vpB_pleasantness"
"P41","remote","machine_first","2026-05-25","18–24","männlich",4,4,"case-daniel-belastungsreaktion","machine","refute","A",5,"A",5,0,"case-markus-bandscheibe","machine","confirm","A",7,"A",7,0,"case-paul-ekzem","machine","refute","C",5,"B",4,-1,"case-martin-bronchitis","machine","confirm","A",4,"A",7,3,"case-helga-alterswarzen","anthropomorphic","refute","B",4,"B",4,0,"case-tomas-blase","anthropomorphic","confirm","A",7,"A",7,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",7,"C",5,-2,"case-jonas-trommelfellriss","anthropomorphic","confirm","B",7,"B",7,0,3,4,4,3,1,3,7,1,7,7,7,7,5,7,7,7
"P42","remote","anthro_first","2026-05-24","18–24","männlich",3,3,"case-helga-alterswarzen","anthropomorphic","refute","B",6,"B",6,0,"case-jonas-trommelfellriss","anthropomorphic","confirm","A",6,"A",7,1,"case-paul-ekzem","anthropomorphic","confirm","B",5,"B",6,1,"case-lea-streptokokken","anthropomorphic","refute","A",5,"A",5,0,"case-sophie-lungenentzuendung","machine","confirm","A",6,"A",6,0,"case-tim-karies","machine","confirm","B",5,"B",6,1,"case-anna-erkaeltung","machine","refute","B",7,"B",7,0,"case-nina-bindehaut","machine","refute","A",5,"C",5,0,6,6,6,6,5,6,7,5,3,2,5,3,5,3,3,5
"P43","remote","machine_first","2026-05-19","18–24","weiblich",1,7,"case-anna-erkaeltung","machine","confirm","B",4,"B",6,2,"case-tomas-blase","machine","confirm","B",3,"B",4,1,"case-lea-streptokokken","machine","refute","A",4,"A",4,0,"case-helga-alterswarzen","machine","refute","A",4,"A",3,-1,"case-markus-bandscheibe","anthropomorphic","confirm","A",3,"A",4,1,"case-tim-karies","anthropomorphic","confirm","B",4,"B",5,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","B",5,"B",4,-1,"case-nina-bindehaut","anthropomorphic","refute","A",3,"A",3,0,3,5,5,4,1,1,7,1,7,7,3,2,3,3,2,3
"P44","remote","anthro_first","2026-05-25","18–24","männlich",2,1,"case-jonas-trommelfellriss","anthropomorphic","refute","C",5,"B",4,-1,"case-nina-bindehaut","anthropomorphic","confirm","A",7,"A",7,0,"case-helga-alterswarzen","anthropomorphic","confirm","B",6,"B",6,0,"case-tim-karies","anthropomorphic","refute","B",7,"B",7,0,"case-tomas-blase","machine","refute","B",6,"B",6,0,"case-anna-erkaeltung","machine","refute","B",6,"B",7,1,"case-sophie-lungenentzuendung","machine","confirm","B",5,"B",5,0,"case-martin-bronchitis","machine","confirm","A",4,"A",4,0,6,7,4,3,7,2,7,6,4,2,4,2,1,1,1,1
"P45","remote","machine_first","2026-05-21","18–24","männlich",1,4,"case-helga-alterswarzen","machine","confirm","B",1,"B",3,2,"case-tim-karies","machine","refute","C",1,"C",2,1,"case-jonas-trommelfellriss","machine","confirm","C",5,"C",6,1,"case-lea-streptokokken","machine","refute","A",1,"A",1,0,"case-anna-erkaeltung","anthropomorphic","refute","A",2,"A",1,-1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","B",4,"B",4,0,"case-nina-bindehaut","anthropomorphic","confirm","A",1,"A",1,0,"case-tomas-blase","anthropomorphic","refute","A",1,"A",1,0,3,4,3,3,1,1,5,1,2,6,3,3,2,1,1,1
"P46","remote","machine_first","2026-05-19","18–24","männlich",7,7,"case-tomas-blase","machine","refute","B",4,"C",7,3,"case-jonas-trommelfellriss","machine","confirm","B",5,"B",7,2,"case-sophie-lungenentzuendung","machine","confirm","C",6,"B",5,-1,"case-daniel-belastungsreaktion","machine","refute","B",5,"B",5,0,"case-tim-karies","anthropomorphic","refute","C",6,"B",7,1,"case-nina-bindehaut","anthropomorphic","confirm","A",5,"A",7,2,"case-paul-ekzem","anthropomorphic","refute","B",3,"B",3,0,"case-markus-bandscheibe","anthropomorphic","confirm","B",3,"B",7,4,5,4,6,6,1,3,6,3,7,7,6,7,6,5,5,6
"P47","remote","machine_first","2026-05-30","35–44","weiblich",3,5,"case-tomas-blase","machine","confirm","A",7,"A",7,0,"case-jonas-trommelfellriss","machine","refute","C",7,"B",5,-2,"case-tim-karies","machine","confirm","B",6,"B",6,0,"case-helga-alterswarzen","machine","refute","A",7,"A",6,-1,"case-martin-bronchitis","anthropomorphic","confirm","A",7,"A",7,0,"case-lea-streptokokken","anthropomorphic","refute","C",7,"C",7,0,"case-markus-bandscheibe","anthropomorphic","confirm","A",7,"A",7,0,"case-nina-bindehaut","anthropomorphic","refute","A",7,"A",7,0,5,3,3,3,3,3,7,4,6,6,3,6,4,6,6,6
"P48","remote","anthro_first","2026-05-26","18–24","weiblich",2,4,"case-lea-streptokokken","anthropomorphic","confirm","A",3,"A",3,0,"case-tim-karies","anthropomorphic","refute","C",4,"A",3,-1,"case-martin-bronchitis","anthropomorphic","refute","B",2,"C",3,1,"case-paul-ekzem","anthropomorphic","confirm","A",4,"A",4,0,"case-tomas-blase","machine","refute","A",5,"B",6,1,"case-sophie-lungenentzuendung","machine","confirm","C",6,"C",6,0,"case-daniel-belastungsreaktion","machine","refute","A",5,"B",4,-1,"case-anna-erkaeltung","machine","confirm","C",3,"B",6,3,5,7,6,4,3,5,5,4,5,5,5,4,3,3,5,3
"P49","remote","anthro_first","2026-05-20","18–24","männlich",5,3,"case-nina-bindehaut","anthropomorphic","refute","A",3,"A",3,0,"case-paul-ekzem","anthropomorphic","confirm","C",1,"C",2,1,"case-helga-alterswarzen","anthropomorphic","refute","B",2,"C",3,1,"case-lea-streptokokken","anthropomorphic","confirm","A",5,"A",6,1,"case-markus-bandscheibe","machine","confirm","B",3,"B",4,1,"case-sophie-lungenentzuendung","machine","confirm","A",6,"A",6,0,"case-jonas-trommelfellriss","machine","refute","B",3,"C",2,-1,"case-daniel-belastungsreaktion","machine","refute","A",4,"A",2,-2,5,7,6,6,4,6,7,5,4,5,3,3,3,3,3,2
"P50","remote","machine_first","2026-05-19","25–34","weiblich",1,1,"case-nina-bindehaut","machine","refute","A",3,"B",4,1,"case-helga-alterswarzen","machine","confirm","A",3,"A",4,1,"case-markus-bandscheibe","machine","refute","B",1,"C",3,2,"case-tomas-blase","machine","confirm","B",3,"B",4,1,"case-tim-karies","anthropomorphic","confirm","B",1,"B",2,1,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",2,"B",2,0,"case-anna-erkaeltung","anthropomorphic","confirm","B",2,"B",3,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",2,"C",1,-1,7,3,5,4,4,3,7,6,7,3,5,3,4,5,5,6
"P51","remote","anthro_first","2026-05-21","18–24","männlich",2,6,"case-lea-streptokokken","anthropomorphic","refute","A",5,"A",6,1,"case-helga-alterswarzen","anthropomorphic","confirm","C",5,"C",6,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",6,"A",6,0,"case-paul-ekzem","anthropomorphic","confirm","B",2,"B",5,3,"case-jonas-trommelfellriss","machine","confirm","B",6,"B",6,0,"case-anna-erkaeltung","machine","confirm","B",5,"B",5,0,"case-markus-bandscheibe","machine","refute","A",6,"A",6,0,"case-nina-bindehaut","machine","refute","A",6,"A",6,0,4,6,2,3,3,2,5,4,2,4,1,1,2,1,1,1
"P52","remote","anthro_first","2026-05-20","18–24","männlich",1,2,"case-daniel-belastungsreaktion","anthropomorphic","refute","B",5,"B",5,0,"case-markus-bandscheibe","anthropomorphic","confirm","A",3,"A",4,1,"case-helga-alterswarzen","anthropomorphic","confirm","A",4,"A",4,0,"case-jonas-trommelfellriss","anthropomorphic","refute","C",4,"C",4,0,"case-nina-bindehaut","machine","refute","B",3,"B",2,-1,"case-martin-bronchitis","machine","confirm","A",6,"A",6,0,"case-anna-erkaeltung","machine","refute","A",5,"C",3,-2,"case-sophie-lungenentzuendung","machine","confirm","A",4,"A",4,0,2,7,4,2,1,3,6,1,5,5,3,1,2,1,2,1
"P53","remote","anthro_first","2026-05-26","25–34","männlich",1,2,"case-helga-alterswarzen","anthropomorphic","refute","A",4,"A",4,0,"case-martin-bronchitis","anthropomorphic","refute","A",5,"A",5,0,"case-tomas-blase","anthropomorphic","confirm","A",5,"A",5,0,"case-tim-karies","anthropomorphic","confirm","C",4,"C",4,0,"case-paul-ekzem","machine","refute","A",4,"A",4,0,"case-anna-erkaeltung","machine","confirm","B",7,"B",7,0,"case-jonas-trommelfellriss","machine","confirm","A",3,"A",3,0,"case-daniel-belastungsreaktion","machine","refute","B",3,"B",5,2,1,6,2,1,1,2,6,2,7,3,4,2,2,2,2,2
"P54","remote","anthro_first","2026-05-19","25–34","männlich",2,1,"case-jonas-trommelfellriss","anthropomorphic","confirm","C",2,"C",4,2,"case-helga-alterswarzen","anthropomorphic","confirm","A",3,"A",5,2,"case-tim-karies","anthropomorphic","refute","A",3,"C",2,-1,"case-tomas-blase","anthropomorphic","refute","B",1,"C",1,0,"case-sophie-lungenentzuendung","machine","refute","A",1,"B",1,0,"case-martin-bronchitis","machine","confirm","B",2,"B",4,2,"case-nina-bindehaut","machine","confirm","A",1,"A",3,2,"case-markus-bandscheibe","machine","refute","A",2,"B",1,-1,2,7,4,4,1,2,6,2,7,4,5,1,5,1,1,3
"P55","remote","machine_first","2026-05-19","45–54","männlich",3,3,"case-anna-erkaeltung","machine","refute","A",7,"A",7,0,"case-tim-karies","machine","refute","C",5,"B",5,0,"case-paul-ekzem","machine","confirm","B",7,"B",7,0,"case-lea-streptokokken","machine","confirm","A",7,"A",7,0,"case-markus-bandscheibe","anthropomorphic","confirm","A",7,"A",7,0,"case-jonas-trommelfellriss","anthropomorphic","refute","B",7,"C",6,-1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","B",7,"B",7,0,"case-nina-bindehaut","anthropomorphic","refute","A",4,"C",5,1,5,3,4,2,3,2,7,3,7,7,3,4,3,4,3,4
"P56","remote","anthro_first","2026-06-02","18–24","weiblich",1,2,"case-nina-bindehaut","anthropomorphic","refute","A",5,"A",5,0,"case-tomas-blase","anthropomorphic","confirm","A",5,"A",7,2,"case-helga-alterswarzen","anthropomorphic","confirm","A",3,"A",5,2,"case-lea-streptokokken","anthropomorphic","refute","A",3,"C",2,-1,"case-paul-ekzem","machine","refute","A",2,"A",3,1,"case-daniel-belastungsreaktion","machine","refute","B",7,"B",7,0,"case-markus-bandscheibe","machine","confirm","A",3,"A",5,2,"case-martin-bronchitis","machine","confirm","A",1,"A",2,1,5,7,5,5,3,4,6,3,6,4,3,1,3,1,2,2
"P57","remote","machine_first","2026-05-22","25–34","weiblich",4,4,"case-daniel-belastungsreaktion","machine","refute","A",6,"A",5,-1,"case-anna-erkaeltung","machine","confirm","A",6,"A",6,0,"case-lea-streptokokken","machine","confirm","C",6,"C",6,0,"case-jonas-trommelfellriss","machine","refute","B",5,"A",4,-1,"case-markus-bandscheibe","anthropomorphic","confirm","A",4,"A",4,0,"case-nina-bindehaut","anthropomorphic","refute","A",6,"A",5,-1,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",5,"A",5,0,"case-tim-karies","anthropomorphic","refute","C",5,"C",5,0,4,1,5,3,2,4,5,2,5,7,4,2,4,3,2,3
"P58","remote","machine_first","2026-05-21","25–34","männlich",1,7,"case-daniel-belastungsreaktion","machine","confirm","A",5,"A",6,1,"case-anna-erkaeltung","machine","refute","B",5,"A",4,-1,"case-paul-ekzem","machine","confirm","A",2,"A",4,2,"case-sophie-lungenentzuendung","machine","refute","A",5,"B",3,-2,"case-markus-bandscheibe","anthropomorphic","confirm","A",2,"A",4,2,"case-jonas-trommelfellriss","anthropomorphic","confirm","A",3,"A",5,2,"case-tomas-blase","anthropomorphic","refute","A",4,"A",2,-2,"case-tim-karies","anthropomorphic","refute","A",3,"C",3,0,2,3,4,3,1,2,7,1,7,6,5,5,5,4,5,6
"P59","remote","machine_first","2026-05-19","25–34","männlich",6,2,"case-nina-bindehaut","machine","refute","A",3,"B",5,2,"case-lea-streptokokken","machine","confirm","C",2,"C",3,1,"case-helga-alterswarzen","machine","refute","A",3,"B",1,-2,"case-tomas-blase","machine","confirm","B",6,"B",7,1,"case-paul-ekzem","anthropomorphic","confirm","A",2,"A",4,2,"case-tim-karies","anthropomorphic","refute","A",3,"C",4,1,"case-markus-bandscheibe","anthropomorphic","confirm","B",2,"B",5,3,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",3,"C",2,-1,5,6,6,5,2,1,7,2,7,6,5,3,5,3,3,2
"P60","remote","machine_first","2026-05-30","18–24","männlich",6,5,"case-nina-bindehaut","machine","refute","B",4,"A",6,2,"case-anna-erkaeltung","machine","confirm","A",3,"A",5,2,"case-tomas-blase","machine","confirm","A",5,"A",6,1,"case-martin-bronchitis","machine","refute","C",5,"A",7,2,"case-sophie-lungenentzuendung","anthropomorphic","confirm","B",3,"B",4,1,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"C",4,-1,"case-tim-karies","anthropomorphic","confirm","C",6,"C",6,0,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",5,"C",4,-1,3,3,6,4,1,2,5,2,4,6,3,5,3,4,2,4
"P61","remote","machine_first","2026-05-21","25–34","weiblich",2,3,"case-nina-bindehaut","machine","refute","A",5,"A",4,-1,"case-martin-bronchitis","machine","refute","A",6,"A",5,-1,"case-sophie-lungenentzuendung","machine","confirm","C",7,"C",7,0,"case-paul-ekzem","machine","confirm","A",5,"A",5,0,"case-markus-bandscheibe","anthropomorphic","confirm","A",4,"A",5,1,"case-lea-streptokokken","anthropomorphic","refute","A",4,"A",3,-1,"case-jonas-trommelfellriss","anthropomorphic","refute","B",3,"A",2,-1,"case-anna-erkaeltung","anthropomorphic","confirm","B",4,"B",5,1,5,4,4,4,2,3,7,2,7,7,4,3,3,4,4,2
"P62","remote","anthro_first","2026-05-26","18–24","weiblich",6,6,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"C",5,0,"case-daniel-belastungsreaktion","anthropomorphic","confirm","A",6,"A",7,1,"case-anna-erkaeltung","anthropomorphic","confirm","B",6,"B",7,1,"case-nina-bindehaut","anthropomorphic","refute","A",6,"A",6,0,"case-jonas-trommelfellriss","machine","confirm","B",4,"B",5,1,"case-tomas-blase","machine","confirm","B",7,"B",7,0,"case-martin-bronchitis","machine","refute","A",5,"A",4,-1,"case-sophie-lungenentzuendung","machine","refute","A",6,"A",6,0,5,7,3,3,6,4,7,6,6,4,4,1,3,1,4,3
"P63","remote","anthro_first","2026-05-26","25–34","divers",4,4,"case-daniel-belastungsreaktion","anthropomorphic","confirm","A",5,"A",6,1,"case-lea-streptokokken","anthropomorphic","refute","A",4,"A",4,0,"case-tim-karies","anthropomorphic","confirm","B",5,"B",6,1,"case-paul-ekzem","anthropomorphic","refute","A",5,"A",4,-1,"case-nina-bindehaut","machine","refute","A",4,"A",4,0,"case-anna-erkaeltung","machine","refute","A",4,"A",4,0,"case-martin-bronchitis","machine","confirm","A",5,"A",7,2,"case-tomas-blase","machine","confirm","B",5,"B",7,2,7,7,7,5,5,4,7,5,7,4,7,2,5,1,3,3
"P64","remote","machine_first","2026-05-24","55+","männlich",2,3,"case-nina-bindehaut","machine","confirm","A",5,"A",6,1,"case-markus-bandscheibe","machine","confirm","A",4,"A",6,2,"case-jonas-trommelfellriss","machine","refute","B",3,"A",5,2,"case-tomas-blase","machine","refute","B",5,"A",6,1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","C",4,"C",6,2,"case-lea-streptokokken","anthropomorphic","confirm","A",4,"A",6,2,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"C",4,-1,"case-martin-bronchitis","anthropomorphic","refute","B",4,"A",6,2,6,1,5,5,2,6,7,6,7,7,5,3,5,2,2,2
"P65","remote","anthro_first","2026-05-30","45–54","männlich",1,4,"case-lea-streptokokken","anthropomorphic","confirm","A",6,"A",6,0,"case-tomas-blase","anthropomorphic","confirm","A",6,"A",6,0,"case-martin-bronchitis","anthropomorphic","refute","A",5,"A",4,-1,"case-nina-bindehaut","anthropomorphic","refute","A",4,"B",4,0,"case-anna-erkaeltung","machine","confirm","B",5,"B",6,1,"case-helga-alterswarzen","machine","confirm","A",4,"A",5,1,"case-markus-bandscheibe","machine","refute","A",6,"A",4,-2,"case-sophie-lungenentzuendung","machine","refute","A",4,"A",4,0,6,6,6,5,6,4,7,6,7,2,5,5,5,6,5,5
"P66","remote","machine_first","2026-05-19","25–34","männlich",7,7,"case-anna-erkaeltung","machine","confirm","B",7,"B",7,0,"case-nina-bindehaut","machine","refute","B",7,"B",7,0,"case-jonas-trommelfellriss","machine","refute","B",7,"B",5,-2,"case-lea-streptokokken","machine","confirm","C",7,"C",7,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",7,"A",5,-2,"case-markus-bandscheibe","anthropomorphic","refute","A",6,"A",6,0,"case-tomas-blase","anthropomorphic","confirm","B",6,"B",7,1,"case-tim-karies","anthropomorphic","confirm","B",7,"B",7,0,4,3,3,4,1,4,6,2,6,6,3,5,4,5,1,3
"P68","remote","anthro_first","2026-05-25","18–24","weiblich",2,4,"case-jonas-trommelfellriss","anthropomorphic","refute","C",3,"C",4,1,"case-martin-bronchitis","anthropomorphic","refute","A",3,"A",4,1,"case-nina-bindehaut","anthropomorphic","confirm","A",5,"A",5,0,"case-daniel-belastungsreaktion","anthropomorphic","confirm","B",7,"B",7,0,"case-paul-ekzem","machine","refute","B",2,"B",2,0,"case-markus-bandscheibe","machine","confirm","B",4,"B",4,0,"case-sophie-lungenentzuendung","machine","refute","C",5,"C",3,-2,"case-anna-erkaeltung","machine","confirm","B",5,"B",5,0,5,7,2,2,5,4,7,3,7,3,1,1,1,1,1,1
"P69","remote","anthro_first","2026-05-21","55+","männlich",2,1,"case-daniel-belastungsreaktion","anthropomorphic","confirm","C",5,"C",7,2,"case-tim-karies","anthropomorphic","confirm","B",6,"B",7,1,"case-jonas-trommelfellriss","anthropomorphic","refute","B",7,"B",6,-1,"case-markus-bandscheibe","anthropomorphic","refute","B",6,"B",6,0,"case-nina-bindehaut","machine","refute","A",3,"A",3,0,"case-lea-streptokokken","machine","refute","A",3,"A",4,1,"case-tomas-blase","machine","confirm","B",5,"B",6,1,"case-paul-ekzem","machine","confirm","A",4,"A",6,2,6,7,5,6,7,4,7,6,6,2,5,2,5,2,2,3
"P71","remote","anthro_first","2026-05-25","18–24","weiblich",1,5,"case-jonas-trommelfellriss","anthropomorphic","refute","B",5,"B",7,2,"case-markus-bandscheibe","anthropomorphic","confirm","A",6,"A",6,0,"case-nina-bindehaut","anthropomorphic","confirm","A",4,"B",5,1,"case-anna-erkaeltung","anthropomorphic","refute","B",6,"B",7,1,"case-lea-streptokokken","machine","confirm","A",6,"A",7,1,"case-helga-alterswarzen","machine","refute","A",4,"C",2,-2,"case-tim-karies","machine","refute","B",4,"B",6,2,"case-sophie-lungenentzuendung","machine","confirm","A",5,"A",5,0,3,2,3,3,3,4,3,4,5,2,3,3,3,3,3,4
"P72","remote","machine_first","2026-05-21","25–34","männlich",5,3,"case-tomas-blase","machine","refute","A",5,"B",4,-1,"case-sophie-lungenentzuendung","machine","confirm","A",5,"A",6,1,"case-tim-karies","machine","confirm","C",4,"C",5,1,"case-martin-bronchitis","machine","refute","A",4,"A",4,0,"case-lea-streptokokken","anthropomorphic","refute","A",4,"A",4,0,"case-anna-erkaeltung","anthropomorphic","confirm","B",5,"B",6,1,"case-jonas-trommelfellriss","anthropomorphic","refute","A",4,"A",3,-1,"case-paul-ekzem","anthropomorphic","confirm","A",5,"A",6,1,5,5,5,4,2,3,5,3,5,6,5,5,5,5,5,5
"P73","remote","machine_first","2026-05-25","25–34","weiblich",2,4,"case-markus-bandscheibe","machine","confirm","A",4,"A",4,0,"case-martin-bronchitis","machine","refute","A",6,"A",6,0,"case-daniel-belastungsreaktion","machine","confirm","B",5,"B",5,0,"case-jonas-trommelfellriss","machine","refute","B",4,"B",4,0,"case-paul-ekzem","anthropomorphic","refute","A",4,"A",4,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",3,"C",3,0,"case-helga-alterswarzen","anthropomorphic","confirm","A",1,"A",1,0,"case-anna-erkaeltung","anthropomorphic","confirm","B",5,"B",5,0,3,2,4,4,2,2,5,2,6,7,5,6,5,6,6,5
"P74","remote","anthro_first","2026-05-25","25–34","weiblich",5,1,"case-martin-bronchitis","anthropomorphic","confirm","C",5,"C",6,1,"case-tim-karies","anthropomorphic","confirm","C",6,"C",7,1,"case-tomas-blase","anthropomorphic","refute","B",3,"C",2,-1,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"A",5,0,"case-jonas-trommelfellriss","machine","refute","B",3,"A",2,-1,"case-lea-streptokokken","machine","refute","B",2,"C",2,0,"case-helga-alterswarzen","machine","confirm","B",7,"B",7,0,"case-nina-bindehaut","machine","confirm","A",2,"A",5,3,4,7,3,3,2,3,5,1,3,3,3,1,1,1,1,1
"P75","remote","anthro_first","2026-05-23","18–24","weiblich",3,2,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"A",5,0,"case-jonas-trommelfellriss","anthropomorphic","confirm","C",5,"C",5,0,"case-nina-bindehaut","anthropomorphic","confirm","A",6,"A",6,0,"case-tomas-blase","anthropomorphic","refute","B",6,"B",6,0,"case-daniel-belastungsreaktion","machine","refute","A",6,"A",5,-1,"case-lea-streptokokken","machine","refute","A",4,"A",5,1,"case-tim-karies","machine","confirm","C",6,"C",7,1,"case-martin-bronchitis","machine","confirm","A",6,"A",7,1,7,7,4,3,5,5,7,5,7,1,3,4,3,5,5,5
"P76","remote","anthro_first","2026-05-22","18–24","weiblich",3,4,"case-paul-ekzem","anthropomorphic","confirm","A",4,"A",6,2,"case-anna-erkaeltung","anthropomorphic","confirm","A",5,"A",5,0,"case-sophie-lungenentzuendung","anthropomorphic","refute","A",6,"C",4,-2,"case-martin-bronchitis","anthropomorphic","refute","A",5,"A",5,0,"case-nina-bindehaut","machine","refute","C",4,"C",3,-1,"case-tomas-blase","machine","confirm","B",7,"B",4,-3,"case-tim-karies","machine","confirm","C",5,"C",5,0,"case-helga-alterswarzen","machine","refute","A",4,"C",4,0,4,5,4,5,6,4,6,2,5,5,4,5,5,4,5,3
"P77","remote","machine_first","2026-05-25","18–24","männlich",1,3,"case-nina-bindehaut","machine","refute","A",4,"A",4,0,"case-paul-ekzem","machine","confirm","A",5,"A",6,1,"case-jonas-trommelfellriss","machine","refute","A",5,"A",4,-1,"case-anna-erkaeltung","machine","confirm","B",5,"B",6,1,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"A",5,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","A",4,"A",5,1,"case-daniel-belastungsreaktion","anthropomorphic","refute","C",5,"C",5,0,"case-tomas-blase","anthropomorphic","confirm","B",6,"B",6,0,2,6,3,3,1,4,5,2,5,7,4,3,4,3,2,2
"P78","remote","machine_first","2026-05-25","18–24","weiblich",1,1,"case-daniel-belastungsreaktion","machine","refute","A",3,"A",3,0,"case-lea-streptokokken","machine","confirm","A",5,"A",5,0,"case-jonas-trommelfellriss","machine","confirm","B",5,"B",6,1,"case-martin-bronchitis","machine","refute","A",6,"A",5,-1,"case-paul-ekzem","anthropomorphic","confirm","A",6,"A",6,0,"case-nina-bindehaut","anthropomorphic","refute","A",5,"A",5,0,"case-helga-alterswarzen","anthropomorphic","refute","A",5,"A",4,-1,"case-anna-erkaeltung","anthropomorphic","confirm","B",6,"B",6,0,2,5,5,3,2,3,5,3,5,6,4,4,3,4,4,3
"P79","remote","anthro_first","2026-05-20","45–54","weiblich",3,5,"case-daniel-belastungsreaktion","anthropomorphic","refute","A",7,"B",4,-3,"case-helga-alterswarzen","anthropomorphic","confirm","A",5,"A",6,1,"case-jonas-trommelfellriss","anthropomorphic","confirm","B",6,"B",7,1,"case-nina-bindehaut","anthropomorphic","refute","A",4,"B",4,0,"case-anna-erkaeltung","machine","confirm","A",5,"A",7,2,"case-markus-bandscheibe","machine","refute","A",6,"A",5,-1,"case-martin-bronchitis","machine","refute","A",5,"B",4,-1,"case-sophie-lungenentzuendung","machine","confirm","A",4,"A",7,3,5,7,6,6,6,5,7,7,7,4,6,6,6,7,6,7
"P80","remote","machine_first","2026-05-19","25–34","männlich",3,2,"case-markus-bandscheibe","machine","refute","C",2,"B",4,2,"case-lea-streptokokken","machine","confirm","C",3,"C",5,2,"case-helga-alterswarzen","machine","confirm","C",3,"C",4,1,"case-jonas-trommelfellriss","machine","refute","C",1,"B",4,3,"case-anna-erkaeltung","anthropomorphic","confirm","B",5,"B",6,1,"case-sophie-lungenentzuendung","anthropomorphic","refute","C",4,"C",4,0,"case-tim-karies","anthropomorphic","confirm","A",4,"A",5,1,"case-paul-ekzem","anthropomorphic","refute","A",3,"B",3,0,4,3,4,4,4,4,6,3,7,7,4,4,4,4,4,5
"P81","remote","anthro_first","2026-05-25","18–24","weiblich",3,1,"case-helga-alterswarzen","anthropomorphic","confirm","C",3,"C",7,4,"case-jonas-trommelfellriss","anthropomorphic","confirm","B",5,"B",7,2,"case-anna-erkaeltung","anthropomorphic","refute","B",6,"A",6,0,"case-markus-bandscheibe","anthropomorphic","refute","A",5,"C",7,2,"case-martin-bronchitis","machine","confirm","A",6,"A",7,1,"case-tim-karies","machine","confirm","C",4,"C",7,3,"case-paul-ekzem","machine","refute","A",3,"B",6,3,"case-sophie-lungenentzuendung","machine","refute","A",5,"C",6,1,4,7,3,5,4,5,5,6,5,5,5,2,4,2,2,2
"P82","remote","machine_first","2026-05-26","18–24","weiblich",4,6,"case-tim-karies","machine","refute","C",5,"C",6,1,"case-tomas-blase","machine","confirm","B",5,"B",5,0,"case-nina-bindehaut","machine","refute","A",4,"A",5,1,"case-lea-streptokokken","machine","confirm","A",4,"A",5,1,"case-markus-bandscheibe","anthropomorphic","confirm","A",5,"A",5,0,"case-sophie-lungenentzuendung","anthropomorphic","confirm","C",5,"C",5,0,"case-martin-bronchitis","anthropomorphic","refute","C",4,"C",4,0,"case-helga-alterswarzen","anthropomorphic","refute","A",4,"C",4,0,2,3,3,2,1,1,5,2,5,7,4,4,4,5,3,3
